cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Abyss Soldier,1,Common,1st Edition,Storm of the Abyss,SOTA-EN001,18318842,18318842
Batteryman Solar,1,Common,1st Edition,Storm of the Abyss,SOTA-EN002,44586426,44586426
Cobra Jar,1,Common,1st Edition,Storm of the Abyss,SOTA-EN003,86801871,86801871
Cranium Fish,1,Common,1st Edition,Storm of the Abyss,SOTA-EN004,18828179,18828179
Crystal Seer,1,Common,1st Edition,Storm of the Abyss,SOTA-EN005,82099401,82099401
Cyber Shark,1,Common,1st Edition,Storm of the Abyss,SOTA-EN006,32393580,32393580
Diana the Light Spirit,1,Common,1st Edition,Storm of the Abyss,SOTA-EN007,17257342,17257342
Evilswarm Azzathoth,1,Common,1st Edition,Storm of the Abyss,SOTA-EN008,42679662,42679662
Fishborg Archer,1,Common,1st Edition,Storm of the Abyss,SOTA-EN009,62023839,62023839
Friller Rabca,1,Common,1st Edition,Storm of the Abyss,SOTA-EN010,93830681,93830681
Frost and Flame Dragon,1,Common,1st Edition,Storm of the Abyss,SOTA-EN011,55589254,55589254
Hieratic Dragon of Gebeb,1,Common,1st Edition,Storm of the Abyss,SOTA-EN012,78033100,78033100
Hieratic Dragon of Nuit,1,Common,1st Edition,Storm of the Abyss,SOTA-EN013,41639001,41639001
Ice Knight,1,Common,1st Edition,Storm of the Abyss,SOTA-EN014,99328137,99328137
Ipiria,1,Common,1st Edition,Storm of the Abyss,SOTA-EN015,70744296,70744296
Lion Alligator,1,Common,1st Edition,Storm of the Abyss,SOTA-EN016,4611269,4611269
Mahunder,1,Common,1st Edition,Storm of the Abyss,SOTA-EN017,21524779,21524779
Mekanikal Arkfiend,1,Common,1st Edition,Storm of the Abyss,SOTA-EN018,93715853,93715853
Metabo-Shark,1,Common,1st Edition,Storm of the Abyss,SOTA-EN019,37792478,37792478
Muscle Medic,1,Common,1st Edition,Storm of the Abyss,SOTA-EN020,4848423,4848423
Neo Kaiser Glider,1,Common,1st Edition,Storm of the Abyss,SOTA-EN021,45885288,45885288
Nimble Sunfish,1,Common,1st Edition,Storm of the Abyss,SOTA-EN022,2843014,2843014
Oshaleon,1,Common,1st Edition,Storm of the Abyss,SOTA-EN023,71519605,71519605
Penguin Soldier,1,Common,1st Edition,Storm of the Abyss,SOTA-EN024,93920745,93920745
Rage of the Deep Sea,1,Common,1st Edition,Storm of the Abyss,SOTA-EN025,73778008,73778008
Razor Lizard,1,Common,1st Edition,Storm of the Abyss,SOTA-EN026,18372968,18372968
Reptilianne Scylla,1,Common,1st Edition,Storm of the Abyss,SOTA-EN027,16909657,16909657
Reptilianne Vaskii,1,Common,1st Edition,Storm of the Abyss,SOTA-EN028,16886617,16886617
Sishunder,1,Common,1st Edition,Storm of the Abyss,SOTA-EN029,57019473,57019473
Thunder Dragon,1,Common,1st Edition,Storm of the Abyss,SOTA-EN030,31786629,31786629
Thunder Nyan Nyan,1,Common,1st Edition,Storm of the Abyss,SOTA-EN031,70797118,70797118
Vylon Prism,1,Common,1st Edition,Storm of the Abyss,SOTA-EN032,74064212,74064212
Wattmole,1,Common,1st Edition,Storm of the Abyss,SOTA-EN033,32548609,32548609
Wattpheasant,1,Common,1st Edition,Storm of the Abyss,SOTA-EN034,81896771,81896771
Worm Apocalypse,1,Common,1st Edition,Storm of the Abyss,SOTA-EN035,88650530,88650530
Yamorimori,1,Common,1st Edition,Storm of the Abyss,SOTA-EN036,51474037,51474037
Yomi Ship,1,Common,1st Edition,Storm of the Abyss,SOTA-EN037,51534754,51534754
Crowned by the World Chalice,1,Common,1st Edition,Storm of the Abyss,SOTA-EN038,95511642,95511642
Flamvell Guard,1,Common,1st Edition,Storm of the Abyss,SOTA-EN039,21615956,21615956
Galaxy Serpent,1,Common,1st Edition,Storm of the Abyss,SOTA-EN040,11066358,11066358
Tune Warrior,1,Common,1st Edition,Storm of the Abyss,SOTA-EN041,74093656,74093656
Back to Square One,1,Common,1st Edition,Storm of the Abyss,SOTA-EN042,47453433,47453433
Creature Swap,1,Common,1st Edition,Storm of the Abyss,SOTA-EN043,31036355,31036355
Double Summon,1,Common,1st Edition,Storm of the Abyss,SOTA-EN044,43422537,43422537
Luminous Spark,1,Common,1st Edition,Storm of the Abyss,SOTA-EN045,81777047,81777047
Mitsurugi Magatama,1,Common,1st Edition,Storm of the Abyss,SOTA-EN046,76725398,76725398
Monster Reincarnation,1,Common,1st Edition,Storm of the Abyss,SOTA-EN047,74848038,74848038
Moray of Greed,1,Common,1st Edition,Storm of the Abyss,SOTA-EN048,22123627,22123627
Reptilianne Poison,1,Common,1st Edition,Storm of the Abyss,SOTA-EN049,90576781,90576781
Reptilianne Rage,1,Common,1st Edition,Storm of the Abyss,SOTA-EN050,91580102,91580102
Scapegoat,1,Common,1st Edition,Storm of the Abyss,SOTA-EN051,73915051,73915051
Shield & Sword,1,Common,1st Edition,Storm of the Abyss,SOTA-EN052,52097679,52097679
Shrink,1,Common,1st Edition,Storm of the Abyss,SOTA-EN053,55713623,55713623
Silent Doom,1,Common,1st Edition,Storm of the Abyss,SOTA-EN054,42534368,42534368
Stamping Destruction,1,Common,1st Edition,Storm of the Abyss,SOTA-EN055,81385346,81385346
Umiiruka,1,Common,1st Edition,Storm of the Abyss,SOTA-EN056,82999629,82999629
Water Hazard,1,Common,1st Edition,Storm of the Abyss,SOTA-EN057,49669730,49669730
Wattcube,1,Common,1st Edition,Storm of the Abyss,SOTA-EN058,65612454,65612454
Code Hack,1,Common,1st Edition,Storm of the Abyss,SOTA-EN059,33750856,33750856
Common Charity,1,Common,1st Edition,Storm of the Abyss,SOTA-EN060,40465719,40465719
