cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Adularia of the June Moon,1,Common,1st Edition,Evolving Maelstrom,EM-EN001,15464375,15464375
Alien Stealthbuster,1,Common,1st Edition,Evolving Maelstrom,EM-EN002,58066722,58066722
"Armed Dragon, the Armored Dragon",1,Common,1st Edition,Evolving Maelstrom,EM-EN003,75220074,75220074
Armored Bee,1,Common,1st Edition,Evolving Maelstrom,EM-EN004,86915847,86915847
Aspischool,1,Common,1st Edition,Evolving Maelstrom,EM-EN005,12888461,12888461
Battlewasp - Pin the Bullseye,1,Common,1st Edition,Evolving Maelstrom,EM-EN006,65899613,65899613
Crystron Quan,1,Common,1st Edition,Evolving Maelstrom,EM-EN007,93665266,93665266
Cyber Valley,1,Common,1st Edition,Evolving Maelstrom,EM-EN008,3657444,3657444
Desert Twister,1,Common,1st Edition,Evolving Maelstrom,EM-EN009,81977953,81977953
Dragon Ice,1,Common,1st Edition,Evolving Maelstrom,EM-EN010,64262809,64262809
Dragunity Darkspear,1,Common,1st Edition,Evolving Maelstrom,EM-EN011,13361027,13361027
Dragunity Phalanx,1,Common,1st Edition,Evolving Maelstrom,EM-EN012,59755122,59755122
Dragunity Primus Pilus,1,Common,1st Edition,Evolving Maelstrom,EM-EN013,18060565,18060565
Dragunity Tribus,1,Common,1st Edition,Evolving Maelstrom,EM-EN014,81962318,81962318
Evilswarm Hraesvelg,1,Common,1st Edition,Evolving Maelstrom,EM-EN015,35209994,35209994
Garuda the Wind Spirit,1,Common,1st Edition,Evolving Maelstrom,EM-EN016,12800777,12800777
Gishki Beast,1,Common,1st Edition,Evolving Maelstrom,EM-EN017,36227804,36227804
Gusto Egul,1,Common,1st Edition,Evolving Maelstrom,EM-EN018,91662792,91662792
Gusto Griffin,1,Common,1st Edition,Evolving Maelstrom,EM-EN019,42082363,42082363
Gusto Gulldo,1,Common,1st Edition,Evolving Maelstrom,EM-EN020,65277087,65277087
Harpie Dancer,1,Common,1st Edition,Evolving Maelstrom,EM-EN021,68815132,68815132
Harpie Lady 2,1,Common,1st Edition,Evolving Maelstrom,EM-EN022,27927359,27927359
Junk Synchron,1,Common,1st Edition,Evolving Maelstrom,EM-EN023,63977008,63977008
"Karakuri Barrel mdl 96 ""Shinkuro""",1,Common,1st Edition,Evolving Maelstrom,EM-EN024,92300891,92300891
"Karakuri Ninja mdl 339 ""Sazank""",1,Common,1st Edition,Evolving Maelstrom,EM-EN025,93724592,93724592
Laughing Puffin,1,Common,1st Edition,Evolving Maelstrom,EM-EN026,80275707,80275707
Loud Cloud the Storm Serpent,1,Common,1st Edition,Evolving Maelstrom,EM-EN027,61465001,61465001
Majiosheldon,1,Common,1st Edition,Evolving Maelstrom,EM-EN028,59951714,59951714
Masked Dragon,1,Common,1st Edition,Evolving Maelstrom,EM-EN029,39191307,39191307
Master's Diploman,1,Common,1st Edition,Evolving Maelstrom,EM-EN030,11327848,11327848
